atomicNumber,symbol,name,atomicMass,electronicConfiguration,electronegativity,atomicRadius,ionizationEnergy,electronAffinity,yearDiscovered,gno,pno,bname
41," Nb "," Niobium"," 92.90638(2)","[Kr] 4d4 5s1 ",1.6,137,652,-86,1801,NULL,NULL,
42," Mo "," Molybdenum"," 95.96(2)","[Kr] 4d5 5s1 ",2.16,145,684,-72,1778,NULL,NULL,
43," Tc "," Technetium"," [98]","[Kr] 4d5 5s2 ",1.9,156,702,-53,1937,NULL,NULL,
44," Ru "," Ruthenium"," 101.07(2)","[Kr] 4d7 5s1 ",2.2,126,710,-101,1827,NULL,NULL,
45," Rh "," Rhodium"," 102.90550(2)","[Kr] 4d8 5s1 ",2.28,135,720,-110,1803,NULL,NULL,
46," Pd "," Palladium"," 106.42(1)","[Kr] 4d10 ",2.2,131,804,-54,1803,NULL,NULL,
47," Ag "," Silver"," 107.8682(2)","[Kr] 4d10 5s1 ",1.93,153,731,-126,0,NULL,NULL,
48," Cd "," Cadmium"," 112.411(8)","[Kr] 4d10 5s2 ",1.69,148,868,0,1817,NULL,NULL,
49," In "," Indium"," 114.818(3)","[Kr] 4d10 5s2 5p1 ",1.78,144,558,-29,1863,NULL,NULL,
50," Sn "," Tin"," 118.710(7)","[Kr] 4d10 5s2 5p2 ",1.96,141,709,-107,0,NULL,NULL,
51," Sb "," Antimony"," 121.760(1)","[Kr] 4d10 5s2 5p3 ",2.05,138,834,-103,0,NULL,NULL,
52," Te "," Tellurium"," 127.60(3)","[Kr] 4d10 5s2 5p4 ",2.1,135,869,-190,1782,NULL,NULL,
53," I "," Iodine"," 126.90447(3)","[Kr] 4d10 5s2 5p5 ",2.66,133,1008,-295,1811,NULL,NULL,
54," Xe "," Xenon"," 131.293(6)","[Kr] 4d10 5s2 5p6 ",,130,1170,0,1898,NULL,NULL,
55," Cs "," Cesium"," 132.9054519(2)","[Xe] 6s1 ",0.79,225,376,-46,1860,NULL,NULL,
56," Ba "," Barium"," 137.327(7)","[Xe] 6s2 ",0.89,198,503,-14,1808,NULL,NULL,
57," La "," Lanthanum"," 138.90547(7)","[Xe] 5d1 6s2 ",1.1,169,538,-48,1839,NULL,NULL,
58," Ce "," Cerium"," 140.116(1)","[Xe] 4f1 5d1 6s2 ",1.12,0,534,-50,1803,NULL,NULL,
59," Pr "," Praseodymium"," 140.90765(2)","[Xe] 4f3 6s2 ",1.13,0,527,-50,1885,NULL,NULL,
60," Nd "," Neodymium"," 144.242(3)","[Xe] 4f4 6s2 ",1.14,0,533,-50,1885,NULL,NULL,
61," Pm "," Promethium"," [145]","[Xe] 4f5 6s2 ",1.13,0,540,-50,1947,NULL,NULL,
